geneid	p-value(surrounding)	q-value(surrounding)	ContactFC(surrounding)	ContactFC(genebody)	Domain_change
AT1G01010	0.9114156785202996	0.9613907228551907	0.9745422132580691	1.0560273277681549	Not significant
AT1G01020	0.0007377110249039061	0.013843250009878454	1.229759714901403	1.1960327838535942	Not significant
AT1G01030	7.007405433196824e-06	0.0005780101222612819	1.283293685823629	0.9433573759522327	Not significant
AT1G01040	1.2712696337741916e-08	5.715977249426664e-06	1.228485975886103	1.1673421426169481	Not significant
AT1G01050	0.17321780060311553	0.3956723001630833	1.0610378643697056	1.02665648639358	Not significant
AT1G01060	0.9088127439654073	0.9601651266777136	0.9765630694099164	0.9420972438741025	Not significant
AT1G01070	0.3448650838748256	0.5832363181896619	0.9353592362167285	1.033017650086375	Not significant
AT1G01080	0.3232367263349142	0.5624314812286029	1.066482222664142	0.9620158777748888	Not significant
AT1G01090	0.28395632497950163	0.5242675111195613	1.0589709605488502	1.0630350404150661	Not significant
AT1G01100	0.02731692189355552	0.13039224311846828	0.906355040249542	1.033919663778279	Not significant
AT1G01110	0.049599773514662236	0.18737231802793916	1.1956466055408135	1.0165800086142478	Not significant
AT1G01120	0.32410188577669075	0.5631994803535386	0.8412065648543552	0.9767753614469235	Not significant
AT1G01130	0.5390529374732027	0.74133518706957	1.0874898339456252	0.6629871856600547	Not significant
AT1G01140	0.12377356165925034	0.3262733121517725	0.890971636805093	0.919729214655289	Not significant
AT1G01150	0.7668979287127649	0.884590283800576	0.9813328750062886	1.0417407831934145	Not significant
AT1G01160	0.40751908109947976	0.6383073803751482	1.0168571408183504	1.4344059275584153	Not significant
AT1G01180	0.959321562671432	0.9820612873118909	0.9773790883326294	1.0748312530327992	Not significant
AT1G01190	0.5868103043038992	0.7737857131088749	1.0599590820070697	1.2645606679313024	Not significant
AT1G01200	0.36073886173514924	0.598267752381979	0.92830592877988	0.923125611623257	Not significant
AT1G01210	0.07783605119520517	0.24717608225415452	0.8998690847866597	1.0693216744366045	Not significant
AT1G01220	0.13076000994537368	0.33694322823433687	1.0449282207117143	1.1899837505721997	Not significant
AT1G01225	0.9469300929128065	0.9767379967229363	0.9189783695963659	0.8651791812226367	Not significant
AT1G01230	0.3971122927717582	0.6294015748928108	0.998329186380863	1.154416748225718	Not significant
AT1G01240	0.2181717661999777	0.45156573433808905	1.0511839588688099	1.0613852058792035	Not significant
AT1G01260	0.09357348499988359	0.27615618848549944	1.1125079582956123	1.3137643272729085	Not significant
AT1G01280	0.008510276791440924	0.06462252551895138	1.2040786692843566	1.234551329426162	Not significant
AT1G01290	0.6015877969830437	0.7840301092707118	1.025930252069552	1.097540395985429	Not significant
AT1G01300	0.6721103351995248	0.830496849396242	1.0146554782499484	0.9488169336012908	Not significant
AT1G01320	0.04595409743409221	0.1786662272399404	1.144626441075853	1.0012200844805568	Not significant
AT1G01340	0.01152780411126015	0.07774825766920779	1.1621596450213894	1.1277302194695131	Not significant
AT1G01350	0.42115251134482634	0.6491500488574132	0.9710345148213221	1.2558294130757657	Not significant
AT1G01355	0.4030982227288551	0.6348520154804517	1.0009997551317347	1.200781625627504	Not significant
AT1G01360	0.4560167140759066	0.6780081223156723	0.8101470655014877	0.4520251345038693	Not significant
AT1G01370	0.5490237413901864	0.7485532146486793	0.9216524438842942	1.0451772349263375	Not significant
AT1G01390	0.8682978835736915	0.9389366911751484	0.9717677212602908	0.8635995616815669	Not significant
AT1G01400	0.45186557204102873	0.6750752122270395	0.970795482168049	1.1715640658577444	Not significant
